iter	Passed	Remaining
560	11011	8616
561	11028	8595
562	11048	8576
563	11068	8556
564	11085	8534
565	11103	8514
566	11122	8493
567	11142	8474
568	11158	8452
569	11176	8431
570	11195	8411
571	11212	8389
572	11228	8367
573	11245	8345
574	11265	8326
575	11283	8305
576	11300	8284
577	11319	8264
578	11336	8243
579	11354	8222
580	11373	8202
581	11391	8181
582	11408	8160
583	11427	8140
584	11443	8117
585	11459	8095
586	11474	8073
587	11491	8052
588	11508	8030
589	11527	8010
590	11545	7989
591	11561	7967
592	11579	7947
593	11596	7926
594	11616	7906
595	11634	7886
596	11651	7865
597	11669	7844
598	11686	7823
599	11707	7804
600	11725	7784
601	11743	7764
602	11761	7743
603	11777	7721
604	11795	7701
605	11813	7680
606	11828	7658
607	11847	7638
608	11865	7618
609	11882	7597
610	11899	7575
611	11917	7555
612	11936	7535
613	11951	7513
614	11967	7491
615	11984	7471
616	12002	7450
617	12020	7429
618	12039	7410
619	12055	7388
620	12071	7367
621	12089	7347
622	12106	7326
623	12122	7304
624	12142	7285
625	12158	7264
626	12173	7241
627	12190	7221
628	12208	7200
629	12224	7179
630	12241	7158
631	12258	7138
632	12276	7117
633	12295	7097
634	12311	7076
635	12328	7055
636	12344	7034
637	12361	7014
638	12380	6994
639	12399	6974
640	12416	6954
641	12433	6933
642	12452	6913
643	12469	6893
644	12486	6872
645	12502	6851
646	12519	6830
647	12538	6810
648	12556	6790
649	12574	6770
650	12591	6750
651	12608	6729
652	12625	6709
653	12643	6688
654	12661	6669
655	12678	6648
656	12695	6627
657	12714	6608
658	12731	6587
659	12748	6567
660	12767	6548
661	12783	6526
662	12800	6506
663	12817	6486
664	12833	6464
665	12849	6444
666	12868	6424
667	12886	6404
668	12904	6384
669	12921	6364
670	12938	6343
671	12955	6323
672	12972	6303
673	12988	6282
674	13006	6262
675	13022	6241
676	13039	6221
677	13057	6201
678	13074	6181
679	13091	6160
680	13110	6141
681	13127	6121
682	13145	6101
683	13164	6081
684	13180	6061
685	13198	6041
686	13215	6020
687	13230	5999
688	13246	5979
689	13262	5958
690	13277	5937
691	13292	5916
692	13314	5898
693	13334	5879
694	13352	5859
695	13370	5839
696	13386	5819
697	13404	5799
698	13419	5778
699	13437	5758
700	13453	5738
701	13471	5718
702	13490	5699
703	13506	5678
704	13524	5659
705	13540	5638
706	13557	5618
707	13576	5599
708	13593	5579
709	13611	5559
710	13629	5540
711	13648	5520
712	13661	5499
713	13678	5479
714	13697	5460
715	13718	5441
716	13735	5421
717	13752	5401
718	13770	5381
719	13787	5361
720	13803	5341
721	13818	5320
722	13834	5300
723	13854	5281
724	13872	5261
725	13891	5242
726	13908	5222
727	13928	5203
728	13946	5184
729	13960	5163
730	13981	5145
731	14000	5125
732	14016	5105
733	14032	5085
734	14049	5065
735	14065	5045
736	14082	5025
737	14097	5004
738	14115	4985
739	14131	4964
740	14148	4945
741	14164	4925
742	14182	4905
743	14200	4886
744	14217	4866
745	14235	4846
746	14254	4827
747	14271	4808
748	14292	4789
749	14308	4769
750	14327	4750
751	14345	4731
752	14362	4711
753	14380	4691
754	14399	4672
755	14417	4653
756	14436	4634
757	14454	4614
758	14473	4595
759	14489	4575
760	14506	4555
761	14525	4536
762	14542	4517
763	14560	4497
764	14577	4478
765	14596	4458
766	14614	4439
767	14634	4420
768	14652	4401
769	14668	4381
770	14687	4362
771	14705	4343
772	14721	4323
773	14739	4303
774	14757	4284
775	14773	4264
776	14792	4245
777	14811	4226
778	14830	4207
779	14845	4187
780	14861	4167
781	14878	4147
782	14896	4128
783	14913	4108
784	14930	4089
785	14946	4069
786	14964	4049
787	14983	4031
788	15005	4012
789	15023	3993
790	15040	3974
791	15058	3954
792	15076	3935
793	15094	3916
794	15113	3897
795	15131	3877
796	15148	3858
797	15167	3839
798	15186	3820
799	15202	3800
800	15218	3780
801	15235	3761
802	15250	3741
803	15268	3722
804	15286	3702
805	15304	3683
806	15320	3663
807	15338	3644
808	15355	3625
809	15371	3605
810	15387	3585
811	15403	3566
812	15420	3546
813	15439	3527
814	15459	3509
815	15476	3489
816	15493	3470
817	15510	3451
818	15528	3431
819	15543	3412
820	15561	3392
821	15579	3373
822	15595	3354
823	15612	3334
824	15629	3315
825	15648	3296
826	15666	3277
827	15682	3257
828	15698	3238
829	15714	3218
830	15732	3199
831	15751	3180
832	15769	3161
833	15786	3142
834	15804	3123
835	15820	3103
836	15834	3083
837	15851	3064
838	15870	3045
839	15888	3026
840	15905	3007
841	15922	2987
842	15939	2968
843	15956	2949
844	15973	2929
845	15989	2910
846	16007	2891
847	16023	2872
848	16037	2852
849	16053	2832
850	16070	2813
851	16087	2794
852	16107	2775
853	16123	2756
854	16141	2737
855	16160	2718
856	16176	2699
857	16194	2680
858	16214	2661
859	16232	2642
860	16249	2623
861	16267	2604
862	16285	2585
863	16302	2566
864	16319	2546
865	16335	2527
866	16354	2508
867	16372	2489
868	16390	2470
869	16409	2452
870	16429	2433
871	16446	2414
872	16462	2394
873	16481	2376
